all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.09529876708984375,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1208.133,1109.997,15.515,7.238,-0.09529876708984375,-0.00499725341796875,106.3,120.6,0.02304553985595703,0.005595207214355469,1208.477,1109.915,15.492,7.232,39.7,101.9,-0.11529541015625,-0.00499725341796875,39.8,101.9,-50.4,-12.0,-0.10000228881835938,-0.010000228881835938,-50.3,-12.0,-17.5244140625,10.01458740234375,2172.476,851.015
-0.09529876708984375,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1357.299,1203.068,5.468,13.472,-0.1248016357421875,-0.00499725341796875,230.8,120.6,0.005496978759765625,0.018384933471679688,1357.383,1202.795,5.462,13.453,174.2,95.7,-0.134796142578125,0.00499725341796875,174.3,95.7,-50.0,77.5,-0.10000228881835938,-0.0099945068359375,-49.9,77.5,-0.1025390625,21.01055908203125,2189.897,862.011
-0.09529876708984375,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,-1,-1,-1,-1,-0.1248016357421875,-0.010000228881835938,230.8,28.5,-0.014593124389648438,-0.006314277648925781,1082.508,1147.455,23.935,9.79,155.7,7.2,-0.10479736328125,1.430511474609375e-06,155.8,7.2,-50.4,32.5,-0.10000228881835938,-1,-50.3,32.5,23.5,23.4998779296875,2213.5,864.5
-0.09529876708984375,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1187.605,978.907,16.941,-1.586,-0.0968017578125,-0.010000228881835938,113.0,28.5,0.00311279296875,-0.011881232261657715,1187.651,979.084,16.938,-1.574,45.0,18.6,-0.0968017578125,-0.010000228881835938,45.1,18.6,-50.0,122.8,-0.0800018310546875,7.62939453125e-06,-49.9,122.8,0.86962890625,15.67193603515625,2190.87,856.672
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1126.595,1158.646,20.971,10.533,-0.09529876708984375,-0.00499725341796875,106.3,120.6,0.0061511993408203125,0.014087677001953125,1126.687,1158.437,20.965,10.519,34.2,98.6,-0.12530136108398438,-0.0149993896484375,34.3,98.6,-50.4,-12.0,-0.10000228881835938,-0.010000228881835938,-50.3,-12.0,-19.0,27.5,2171.0,868.5
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1476.375,1290.758,-2.558,19.35,-0.1447906494140625,-0.00499725341796875,230.8,120.6,0.005492687225341797,0.0071125030517578125,1476.458,1290.652,-2.563,19.343,182.2,89.8,-0.1248016357421875,-0.0149993896484375,182.3,89.8,-50.4,32.5,-0.10000228881835938,-1,-50.3,32.5,-14.8271484375,9.2135009765625,2175.173,850.214
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1389.297,1213.08,3.316,14.139,-0.1447906494140625,-0.010000228881835938,230.8,28.5,0.030586719512939453,-0.0233917236328125,1389.751,1213.429,3.286,14.162,176.3,2.9,-0.144805908203125,-2.384185791015625e-07,176.5,2.9,-50.0,122.8,-0.10000228881835938,7.62939453125e-06,-49.9,122.8,10.7509765625,28.5802001953125,2200.751,869.58
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1062.649,1065.761,25.298,4.292,-0.0968017578125,-0.010000228881835938,113.0,28.5,-0.015254974365234375,0.011605262756347656,1062.422,1065.588,25.313,4.281,36.6,12.7,-0.11679458618164062,-9.5367431640625e-07,36.8,12.7,-50.0,77.5,-0.10000228881835938,-1,-49.9,77.5,21.188232421875,-22.447021484375,2211.188,818.553
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,928.332,1179.422,34.273,11.978,-0.0847930908203125,-0.00499725341796875,230.7,120.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.968994140625,0.48199462890625,2224.969,841.482
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,1443.096,1177.26,-0.282,11.714,-0.03530120849609375,-0.00499725341796875,106.2,120.6,0.013748586177825928,-0.0026493072509765625,1443.3,1177.3,-0.296,11.717,179.9,97.4,-0.0847930908203125,-0.00499725341796875,180.0,97.4,-50.4,32.5,-0.04000091552734375,-1,-50.4,32.5,14.5966796875,-10.974365234375,2204.597,830.026
