all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.095298767,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.136795044,-0.010000229,1208.133,1109.997,15.515,7.238,-0.095298767,-0.004997253,106.3,120.6,0.02304553985595703,0.005595207214355469,1208.477,1109.915,15.492,7.232,39.7,101.9,-0.11529541,-0.004997253,39.8,101.9,-50.4,-12,-0.100002289,-0.010000229,-50.3,-12,-17.52441406,10.01458740234375,2172.476,851.015
-0.095298767,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.136795044,-0.010000229,1357.299,1203.068,5.468,13.472,-0.124801636,-0.004997253,230.8,120.6,0.005496978759765625,0.018384933471679688,1357.383,1202.795,5.462,13.453,174.2,95.7,-0.134796143,0.00499725341796875,174.3,95.7,-50,77.5,-0.100002289,-0.009994507,-49.9,77.5,-0.102539063,21.01055908203125,2189.897,862.011
-0.095298767,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.136795044,-0.010000229,-1,-1,-1,-1,-0.124801636,-0.010000229,230.8,28.5,-0.014593124,-0.006314278,1082.508,1147.455,23.935,9.79,155.7,7.2,-0.104797363,1.430511474609375e-06,155.8,7.2,-50.4,32.5,-0.100002289,-1,-50.3,32.5,23.5,23.4998779296875,2213.5,864.5
-0.095298767,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.136795044,-0.010000229,1187.605,978.907,16.941,-1.586,-0.096801758,-0.010000229,113,28.5,0.00311279296875,-0.011881232,1187.651,979.084,16.938,-1.574,45,18.6,-0.096801758,-0.010000229,45.1,18.6,-50,122.8,-0.080001831,7.62939453125e-06,-49.9,122.8,0.869628906,15.67193603515625,2190.87,856.672
-0.095298767,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.096801758,-0.010000229,1126.595,1158.646,20.971,10.533,-0.095298767,-0.004997253,106.3,120.6,0.0061511993408203125,0.014087677001953125,1126.687,1158.437,20.965,10.519,34.2,98.6,-0.125301361,-0.01499939,34.3,98.6,-50.4,-12,-0.100002289,-0.010000229,-50.3,-12,-19,27.5,2171,868.5
-0.095298767,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.096801758,-0.010000229,1476.375,1290.758,-2.558,19.35,-0.144790649,-0.004997253,230.8,120.6,0.005492687225341797,0.0071125030517578125,1476.458,1290.652,-2.563,19.343,182.2,89.8,-0.124801636,-0.01499939,182.3,89.8,-50.4,32.5,-0.100002289,-1,-50.3,32.5,-14.82714844,9.2135009765625,2175.173,850.214
-0.095298767,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.096801758,-0.010000229,1389.297,1213.08,3.316,14.139,-0.144790649,-0.010000229,230.8,28.5,0.030586719512939453,-0.023391724,1389.751,1213.429,3.286,14.162,176.3,2.9,-0.144805908,-2.38E-07,176.5,2.9,-50,122.8,-0.100002289,7.62939453125e-06,-49.9,122.8,10.75097656,28.5802001953125,2200.751,869.58
-0.095298767,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.096801758,-0.010000229,1062.649,1065.761,25.298,4.292,-0.096801758,-0.010000229,113,28.5,-0.015254974,0.011605262756347656,1062.422,1065.588,25.313,4.281,36.6,12.7,-0.116794586,-9.54E-07,36.8,12.7,-50,77.5,-0.100002289,-1,-49.9,77.5,21.188232421875,-22.44702148,2211.188,818.553
-0.035301208,-0.004997253,-0.084793091,-0.004997253,-0.084793091,-0.010000229,-0.03679657,-0.010000229,928.332,1179.422,34.273,11.978,-0.084793091,-0.004997253,230.7,120.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.968994140625,0.48199462890625,2224.969,841.482
-0.035301208,-0.004997253,-0.084793091,-0.004997253,-0.084793091,-0.010000229,-0.03679657,-0.010000229,1443.096,1177.26,-0.282,11.714,-0.035301208,-0.004997253,106.2,120.6,0.013748586177825928,-0.002649307,1443.3,1177.3,-0.296,11.717,179.9,97.4,-0.084793091,-0.004997253,180,97.4,-50.4,32.5,-0.040000916,-1,-50.4,32.5,14.59667969,-10.97436523,2204.597,830.026
-0.035301208,-0.004997253,-0.084793091,-0.004997253,-0.084793091,-0.010000229,-0.03679657,-0.010000229,1502.031,1478.945,-4.349,32.018,-0.084793091,-0.010000229,230.7,28.5,-0.013840199,-0.027217865,1501.822,1479.349,-4.335,32.045,184,-15,-0.094787598,-9.54E-07,184.1,-15,-50.4,-12,-0.040000916,-1,-50.4,-12,17.5,-37.5,2207.5,803.5
-0.035301208,-0.004997253,-0.084793091,-0.004997253,-0.084793091,-0.010000229,-0.03679657,-0.010000229,-1,-1,-1,-1,-0.03679657,-0.010000229,113,28.5,-1,-1,1305.919,1074.458,8.964,4.822,53,12.2,-0.036800385,9.5367431640625e-07,53,12.2,-50,77.5,-0.040000916,-1,-50,77.5,-4.176757813,16.5914306640625,2185.823,857.591
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1544.435,1299.622,-7.13,19.931,-0.075294495,-0.004997253,106.3,120.6,0.008186817169189453,-0.003112793,1544.557,1299.669,-7.138,19.934,62.3,89.2,-0.04529953,-0.004997253,62.4,89.2,-50.4,-12,-0.080001831,-0.010000229,-50.3,-12,15,-50.5,2205,790.5
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1053.513,1260.712,25.84,17.424,-0.124801636,-0.004997253,230.8,120.6,-0.008964539,-0.01981163,1053.378,1261.006,25.849,17.443,153.8,91.7,-0.104797363,-0.004997253,153.9,91.7,-50,77.5,-0.080001831,-0.009994507,-49.9,77.5,-0.5,1,2189.5,842
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1385.166,928.9,3.698,-4.999,-0.124801636,-0.010000229,230.8,28.5,-0.024624109,0.00591278076171875,1384.8,928.811,3.722,-5.005,176,22,-0.104797363,-1,176.1,22,-50.4,32.5,-0.080001831,-1,-50.3,32.5,33.5,-46,2223.5,795
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1400.602,1085.857,2.604,5.568,-0.076797485,-0.010000229,113,28.5,-0.007331848,0.005630970001220703,1400.493,1085.773,2.611,5.562,59.3,11.4,-0.096797943,9.5367431640625e-07,59.4,11.4,-50,122.8,-0.080001831,7.62939453125e-06,-49.9,122.8,3.442138672,-47.06481934,2193.442,793.935
-0.055297852,-0.004997253,-0.104797363,-0.004997253,-0.104797363,-0.010000229,-0.076797485,-0.010000229,1526.484,1086.433,-5.847,5.578,-0.055297852,-0.004997253,106.2,120.6,0.0021820068359375,0.0025968551635742188,1526.517,1086.395,-5.849,5.575,61,103.5,-0.04529953,0.00499725341796875,61.1,103.5,-50,122.8,-0.060001373,7.62939453125e-06,-49.9,122.8,22.38427734,-44.57696533,2212.384,796.423
-0.055297852,-0.004997253,-0.104797363,-0.004997253,-0.104797363,-0.010000229,-0.076797485,-0.010000229,1110.196,1166.707,22.069,11.08,-0.104797363,-0.004997253,230.8,120.6,-0.012836456,-0.002156258,1110.005,1166.739,22.082,11.082,157.6,98,-0.094787598,-0.004997253,157.7,98.1,-50.4,-12,-0.060001373,-0.010000229,-50.3,-12,28.40966797,-25.91040039,2218.41,815.09
-0.055297852,-0.004997253,-0.104797363,-0.004997253,-0.104797363,-0.010000229,-0.076797485,-0.010000229,1112.637,1064.428,21.943,4.191,-0.104797363,-0.010000229,230.8,28.5,0.0024871826171875,-0.026389599,1112.672,1064.82,21.94,4.217,157.7,12.8,-0.08480835,-1,157.8,12.8,-50.4,32.5,-0.060001373,-1,-50.3,32.5,33.452880859375,6.80938720703125,2223.453,847.809
-0.055297852,-0.004997253,-0.104797363,-0.004997253,-0.104797363,-0.010000229,-0.076797485,-0.010000229,1192.176,1023.83,16.618,1.439,-0.056800842,-0.010000229,113,28.5,-0.005441666,-0.001687527,1192.095,1023.854,16.623,1.44,45.3,15.6,-0.0768013,-1,45.4,15.6,-50,77.5,-0.060001373,-1,-49.9,77.5,-0.024658203,2.229492188,2189.975,843.229
