all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1123.551,848.415,21.289,-10.359,-0.075294495,-0.004997253,106.3,120.6,0.015920639038085938,0.00040435791015625,1123.788,848.41,21.273,-10.36,33.9,119.5,-0.085300446,-0.01499939,34,119.5,-50,122.8,-0.080001831,7.62939453125e-06,-49.9,122.8,1.353027344,-0.911743164,2191.353,840.088
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1515.033,1277.764,-5.148,18.466,-0.124801636,-0.01499939,230.8,120.6,0.0013399124145507812,-0.017351151,1515.052,1278.021,-5.149,18.483,184.8,90.7,-0.114807129,0.00499725341796875,184.9,90.7,-50.4,32.5,-0.080001831,-1,-50.3,32.5,-1.332763672,-7.416137695,2188.667,833.584
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1332.453,1140.011,7.159,9.231,-0.124801636,-0.010000229,230.8,28.5,-0.007927895,-0.009843826,1332.334,1140.157,7.167,9.241,172.5,7.8,-0.104797363,-0.009999275,172.6,7.8,-50.4,-12,-0.080001831,-0.010000229,-50.3,-12,-3,-1.5,2187,839.5
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.096801758,-0.010000229,1272.145,1089.718,11.226,5.858,-0.076797485,0,113,28.5,0.002017974853515625,-0.010951996,1272.174,1089.88,11.224,5.869,50.7,11.1,-0.086803436,-1,50.8,11.1,-50,77.5,-0.080001831,-1,-49.9,77.5,2,1.4998779296875,2192,842.5
-0.055297852,-0.01499939,-0.104797363,-0.01499939,-0.104797363,-0.01999855,-0.076797485,-0.01999855,1023.028,1125.436,27.936,8.32,-0.055297852,-0.01499939,106.2,120.6,0.0071048736572265625,0.016590118408203125,1023.136,1125.19,27.928,8.304,27.2,100.8,-0.055301666,-0.01499939,27.3,100.8,-50,77.5,-0.060001373,-0.019996643,-49.9,77.5,2.5,1,2192.5,842
-0.055297852,-0.01499939,-0.104797363,-0.01499939,-0.104797363,-0.01999855,-0.076797485,-0.01999855,1251.013,1031.615,12.666,1.949,-0.104797363,-0.01499939,230.8,120.6,-0.039105415,0.02273738384246826,1250.432,1031.276,12.705,1.927,167,107.2,-0.094802856,-0.024993896,167.1,107.2,-50,122.8,-0.060001373,-0.009994507,-49.9,122.8,0,-1.5,2190,839.5
-0.055297852,-0.01499939,-0.104797363,-0.01499939,-0.104797363,-0.01999855,-0.076797485,-0.01999855,1487.914,1116.63,-3.269,7.62,-0.104797363,-0.01999855,230.8,28.5,-0.033154726,-0.018191814,1487.419,1116.899,-3.235,7.639,182.9,9.4,-0.094787598,-0.01999855,183,9.4,-50.4,32.5,-0.060001373,-0.009998322,-50.3,32.5,-2.855957031,-6.349609375,2187.144,834.65
-0.055297852,-0.01499939,-0.104797363,-0.01499939,-0.104797363,-0.01999855,-0.076797485,-0.01999855,916.587,1136.133,35.077,9.065,-0.056800842,-0.01999855,113,28.5,-0.004066467,-0.002866745,916.526,1136.175,35.081,9.068,26.9,7.9,-0.0768013,-0.019999504,26.9,8,-50.4,-12,-0.060001373,-0.020000458,-50.3,-12,-3,-1.50012207,2187,839.5
-0.055297852,-0.004997253,-0.044799805,-0.004997253,-0.084793091,-0.010000229,-0.056800842,-0.010000229,958.025,1194.045,32.274,12.956,-0.055297852,-0.004997253,106.2,120.6,0.006580352783203125,-0.015022278,958.122,1194.268,32.267,12.971,22.9,96.2,-0.065296173,-0.004997253,23,96.2,-50,77.5,-0.060001373,-0.009994507,-49.9,77.5,3,1,2193,842
-0.055297852,-0.004997253,-0.044799805,-0.004997253,-0.084793091,-0.010000229,-0.056800842,-0.010000229,1643.276,1341.756,-13.78,22.746,-0.084793091,-0.004997253,230.7,120.6,-0.00445652,-0.001750946,1643.21,1341.782,-13.776,22.748,193.4,86.4,-0.064804077,-0.004997253,193.5,86.4,-50,122.8,-0.060001373,7.62939453125e-06,-49.9,122.8,0.900146484,-1.299865723,2190.9,839.7
-0.055297852,-0.004997253,-0.044799805,-0.004997253,-0.084793091,-0.010000229,-0.056800842,-0.010000229,1449.436,1118.534,-0.686,7.758,-0.084793091,-0.010000229,230.7,28.5,0.00343167781829834,0.012392520904541016,1449.488,1118.35,-0.69,7.745,180.3,9.2,-0.11479187,-0.010000229,180.5,9.3,-50.4,32.5,-0.060001373,-1,-50.3,32.5,-1.5,-7.5,2188.5,833.5
-0.055297852,-0.004997253,-0.044799805,-0.004997253,-0.084793091,-0.010000229,-0.056800842,-0.010000229,1195.958,941.984,16.394,-4.074,-0.056800842,-0.010000229,113,28.5,0.005950927734375,-0.016923428,1196.046,942.235,16.388,-4.057,45.6,21.1,-0.066799164,-1,45.6,21.1,-50.4,-12,-0.060001373,-0.010000229,-50.3,-12,-1.773681641,-0.2890625,2188.226,840.711
-0.095298767,-0.01499939,-0.124801636,-0.01499939,-0.124801636,-0.01999855,-0.096801758,-0.01999855,1433.562,1217.219,0.343,14.407,-0.095298767,-0.01499939,106.3,120.6,-0.028176665,0.009695053100585938,1433.143,1217.074,0.371,14.398,54.8,94.7,-0.095294952,-0.005004883,54.9,94.7,-50,122.8,-0.100002289,-0.009994507,-49.9,122.8,-0.526123047,-1.919128418,2189.474,839.081
-0.095298767,-0.01499939,-0.124801636,-0.01499939,-0.124801636,-0.01999855,-0.096801758,-0.01999855,1285.089,1279.906,10.287,18.663,-0.124801636,-0.01499939,230.8,120.6,0.004279136657714844,-0.013837814,1285.151,1280.111,10.283,18.677,169.4,90.5,-0.134796143,-0.01499939,169.5,90.5,-50.4,-12,-0.100002289,-0.020000458,-50.3,-12,-3.5,-1.5,2186.5,839.5
