'2025-08-07 14:06:57','2025-08-07 14:08:46'
'2025-08-07 14:10:07','2025-08-07 14:12:06'
'2025-08-07 14:14:36','2025-08-07 14:16:17'
'2025-08-07 14:19:21','2025-08-07 14:21:01'
'2025-08-07 14:22:08','2025-08-07 14:23:46'
'2025-08-07 14:27:02','2025-08-07 14:28:44'
'2025-08-07 14:36:10','2025-08-07 14:37:52'
'2025-08-07 14:40:57','2025-08-07 14:43:23'
'2025-08-07 14:48:05','2025-08-07 14:49:56'
'2025-08-07 15:48:21','2025-08-07 15:50:09'
'2025-08-07 15:52:56','2025-08-07 15:54:39'
'2025-08-07 16:04:52','2025-08-07 16:06:39'
'2025-08-07 16:09:38','2025-08-07 16:11:19'
'2025-08-07 16:13:07','2025-08-07 16:14:47'
'2025-08-07 16:16:08','2025-08-07 16:17:55'
'2025-08-07 16:27:32','2025-08-07 16:27:34'
'2025-08-07 16:27:48','2025-08-07 16:29:25'
'2025-08-07 16:31:58','2025-08-07 16:33:20'
'2025-08-07 16:34:23','2025-08-07 16:34:39'
'2025-08-07 16:34:41','2025-08-07 16:40:42'
'2025-08-07 16:40:44','2025-08-07 16:41:44'
'2025-08-07 16:41:53','2025-08-07 16:55:02'
'2025-08-08 08:51:06','2025-08-08 08:53:19'
'2025-08-08 09:09:22','2025-08-08 09:09:23'
'2025-08-08 09:09:25','2025-08-08 09:12:11'
'2025-08-08 09:14:24','2025-08-08 09:15:50'
'2025-08-08 09:15:52','2025-08-08 09:18:30'
'2025-08-08 14:44:52','2025-08-08 14:47:27'
'2025-08-08 14:49:48','2025-08-08 14:50:19'
'2025-08-08 15:13:21','2025-08-08 15:14:51'
'2025-08-08 17:07:10','2025-08-08 17:08:26'
'2025-08-08 17:10:49','2025-08-08 17:12:06'
'2025-08-08 17:14:53','2025-08-08 17:19:01'
'2025-08-08 17:19:03','2025-08-08 17:20:19'
'2025-08-08 17:27:25','2025-08-08 17:29:37'
'2025-08-14 15:58:02','2025-08-14 16:00:10'
'2025-08-14 16:00:29','2025-08-14 16:02:43'
'2025-08-14 16:02:56','2025-08-14 16:05:11'
'2025-08-14 16:05:24','2025-08-14 16:05:29'
'2025-08-14 16:05:31','2025-08-14 16:07:47'
'2025-08-14 16:07:51','2025-08-14 16:07:57'
'2025-08-14 16:08:08','2025-08-14 16:10:36'
'2025-08-14 16:18:56','2025-08-14 16:21:10'
'2025-08-14 16:25:09','2025-08-14 16:25:39'
'2025-08-14 16:25:49','2025-08-14 16:28:03'
'2025-08-14 16:34:33','2025-08-14 16:36:44'
'2025-08-14 16:37:09','2025-08-14 16:37:36'
'2025-08-14 16:37:45','2025-08-14 16:39:57'
'2025-08-14 16:41:01','2025-08-14 16:43:09'
'2025-08-14 16:44:09','2025-08-14 16:46:19'
'2025-08-14 16:46:32','2025-08-14 16:48:43'


'2025-09-05 14:06:03','2025-09-05 14:08:21'
'2025-09-05 14:08:28','2025-09-05 14:10:37'
